from_001,from_002,to_001,to_002,labels_001,labels_002,color,value,year
-95.712891,37.09024,-102.552788,23.634501,United States,Mexico,dc5958,27118,1993
-95.712891,37.09024,-106.346771,56.130367,,Canada,dc5958,1267,1993
-95.712891,37.09024,-88.89653,13.794185,,El Salvador,dc5958,2117,1993
-95.712891,37.09024,-87.09144,14.86304,,Honduras,dc5958,1678,1993
-95.712891,37.09024,-90.4972,15.71084,,Guatemala,dc5958,1370,1993
-95.712891,37.09024,-72.46863,3.30608,,Colombia,ff6b2b,1303,1993
-95.712891,37.09024,-77.35504,18.25778,,Jamaica,dc5958,1044,1993
-95.712891,37.09024,-70.47252,18.98109,,Dominican Republic,dc5958,1649,1993
-95.712891,37.09024,6.49039,10.0248,,Nigeria,0093d8,336,1993
-95.712891,37.09024,-72.52543,19.00598,,Haiti,dc5958,319,1993
-95.712891,37.09024,-85.44807,12.72865,,Nicaragua,dc5958,273,1993
-95.712891,37.09024,79.25541,23.82149,,India,ffe800,263,1993
-95.712891,37.09024,-0.19772,54.73475,,United Kingdom,00329f,248,1993
-95.712891,37.09024,-77.54147,-11.24741,,Peru,ff6b2b,211,1993
-95.712891,37.09024,125.83744,12.8289,,Phillipines,ffe800,162,1993
-95.712891,37.09024,-78.96176,21.6473,,Cuba,dc5958,150,1993
-95.712891,37.09024,-78.84357,-1.42388,,Ecuador,ff6b2b,136,1993
-95.712891,37.09024,71.48961,29.49641,,Pakistan,ffe800,136,1993
-95.712891,37.09024,-61.89362,10.42382,,Trinidad and Tobago,dc5958,134,1993
-95.712891,37.09024,-89.03798,16.5835,,Belize,dc5958,128,1993
-95.712891,37.09024,-59.33912,4.7029,,Guyana,ff6b2b,125,1993
-95.712891,37.09024,-79.82967,8.41091,,Panama,dc5958,112,1993
-95.712891,37.09024,-1.40194,7.18298,,Ghana,0093d8,107,1993
-95.712891,37.09024,-55.18564,-8.32794,,Brazil,ff6b2b,101,1993
-95.712891,37.09024,8.72924,51.51929,,Germany,00329f,99,1993
-95.712891,37.09024,103.80019,36.09242,,China,ffe800,96,1993
-95.712891,37.09024,80.85034,7.64102,,Sri Lanka,ffe800,80,1993
-95.712891,37.09024,17.82587,52.91874,,Poland,00329f,79,1993
-95.712891,37.09024,-77.62193,24.54318,,Bahamas,dc5958,68,1993
-95.712891,37.09024,36.78595,34.45909,,Lebanon,ffe800,67,1993
-95.712891,37.09024,52.79979,31.6683,,Iran,ffe800,58,1993
